title,gallery,location,filename,medium,price,description,featured,availability
Only Have Eyes for You,Gatherings,"Waterford, VA",only-have-eyes-for-you.jpg,Acrylic on Canvas,300,Newlyweds dance closely in the foreground while groups of people mingle in a warmly lit space behind them.,no,yes
Pipers on Parade,Gatherings,"Plymouth, MA",pipers-on-parade.jpg,Acrylic on Canvas,300,"Bagpipers in uniform march past a gathered crowd, performing along a city sidewalk.",no,yes
Red's Eats,Everyday Life,"Wiscasset, ME",reds-eats.jpg,Acrylic on Canvas,300,"A line of people waits outside Red's Eats in Wiscasset, Maine, clustered beneath umbrellas along a busy street corner.",yes,yes
Some People Like to Dance,Gatherings,Location n/a,some-people-like-to-dance.jpg,Mixed-media Collage,300,"Overlapping cut-out figures of dancers and musicians fill the frame, layered over a crowded outdoor gathering.",no,no
Doughnuts,Portraits & Still Life,"Portland, ME",doughnuts.jpg,Acrylic on Canvas,300,"Assorted doughnuts are stacked in rows, their glazes and fillings rendered with broad, textured brush strokes.",no,yes
Linda,Portraits & Still Life,Location n/a,linda.jpg,Acrylic on Canvas,300,"A woman reads a newspaper while reclining in a striped armchair, her feet propped on a footstool in a softly lit interior.",no,yes
Sale Day in Damariscotta,Everyday Life,"Damariscotta, ME",sale-day-in-damariscotta.jpg,Acrylic on Canvas,300,"A crowd stands and walks along a downtown sidewalk in Damariscotta, Maine, during a sale day, with storefront signs, parked cars, and street traffic in the background.",no,yes
Skier in Gondola,Portraits & Still Life,"Mammoth Lakes, CA",skier-in-gondola.jpg,Acrylic on Canvas,300,"A skier in winter gear sits inside a gondola, with snow-covered mountains visible through the windows.",no,yes
Man in Beige,Portraits & Still Life,Location n/a,man-in-beige.jpg,Acrylic on Canvas,300,"A man in a light shirt and beige pants walks along a sidewalk holding a paper shopping bag, with storefront windows in the background.",no,yes
Kayaks,Portraits & Still Life,"Damariscotta, ME",kayaks.jpg,Acrylic on Canvas,300,"Boats rest along the shoreline at night as moonlight reflects across calm water, with trees visible along the lake’s edge.",yes,yes
Two Men at a Coffee Shop,Everyday Life,Location n/a,two-men-at-a-coffee-shop.jpg,Acrylic on Canvas,300,"Two men sit outside a coffee shop at a small table, one focused on his phone while the other looks outward, with storefront reflections visible in the window.",no,yes
Where are the Sheep,Everyday Life,Location n/a,where-are-the-sheep.jpg,Acrylic on Canvas,300,"People gather at the opening of a barn as a man in overalls speaks, with red barn doors and a farmyard behind them.",no,yes
Woman in Plymouth,Everyday Life,"Plymouth, MA",woman-in-plymouth.jpg,Acrylic on Canvas,300,"A woman walks along a waterfront path beside a stone wall, with water and boats visible in the background in Plymouth, Massachusetts.",no,yes
Young Man at the Ready,Portraits & Still Life,"Hanover, MA",young-man-at-the-ready.jpg,Acrylic on Canvas,300,"A man in a safety vest stands beside a green cart on a paved area, with buildings visible behind him.",no,no
Suzette No 2,Portraits & Still Life,Location n/a,suzette-no-2.jpg,Acrylic on Canvas,300,"A seated woman smiles softly, set against a dark background.",no,no
Self Portrait,Portraits & Still Life,Location n/a,self-portrait.jpg,Acrylic on Canvas,300,A self-portrait of the artist.,no,no
